Type,Date,Price,BalanceBefore,Profit,BalanceAfter
SELL,2013-08-29 18:30:00,1411.0,,35.190000000000055,10445.024070000001
BUY,2013-09-04 02:30:00,1412.96,10445.024070000001,,
SELL,2013-09-05 02:30:00,1391.63,,-21.329999999999927,10423.694070000001
BUY,2013-09-09 10:30:00,1387.08,10423.694070000001,,
SELL,2013-09-10 14:30:00,1358.15,,-28.929999999999836,10394.764070000001
BUY,2013-09-19 02:30:00,1365.36,10394.764070000001,,
SELL,2013-09-23 05:30:00,1322.57,,-42.789999999999964,10351.97407
BUY,2013-09-25 21:30:00,1334.1,10351.97407,,
SELL,2013-09-27 09:30:00,1324.4,,-9.699999999999818,10342.27407
BUY,2013-09-27 17:30:00,1336.85,10342.27407,,
SELL,2013-10-01 05:30:00,1329.02,,-7.829999999999927,10334.44407
BUY,2013-10-03 21:30:00,1316.43,10334.44407,,
SELL,2013-10-09 13:30:00,1305.77,,-10.660000000000082,10323.78407
BUY,2013-10-16 09:30:00,1281.06,10323.78407,,
SELL,2013-10-30 01:30:00,1340.95,,59.8900000000001,10383.67407
BUY,2013-10-31 01:30:00,1337.97,10383.67407,,
SELL,2013-10-31 05:30:00,1336.82,,-1.150000000000091,10382.52407
BUY,2013-11-06 18:30:00,1317.37,10382.52407,,
SELL,2013-11-07 22:30:00,1307.38,,-9.989999999999782,10372.53407
BUY,2013-11-14 14:30:00,1285.8,10372.53407,,
SELL,2013-11-18 22:30:00,1275.03,,-10.769999999999982,10361.76407
BUY,2013-11-26 06:30:00,1253.15,10361.76407,,
